Id,Ingredients,Ingredients_tr
168,aluminum free baking powder,alüminyum içermeyen kabartma tozu
169,amaranth,amaranth
170,amaranth flour,amarant unu
171,amaranth leave,amaranth izni
172,amaranth seed,amaranth tohumu
173,amarena cherry in syrup,şuruplu amarena kirazı
174,amaretti cooky,amaretti kurabiyesi
175,amaretto,amaretto
176,amaretto cream flavored cocoa mix,amaretto krema aromalı kakao karışımı
177,amaretto extract,amaretto özü
178,amarillo chile pepper,amarillo şili biberi
179,amarillo pepper,Amarillo biberi
180,amazn prune,Amazon başbakanı
181,amazn prune juice,Amazon kuru erik suyu
182,amchoor,sabah
183,amchur,amchur
184,amchur powder,amchur tozu
185,american cheese,amerikan peyniri
186,American cheese,Amerikan peyniri
187,american cheese broken into,amerikan peyniri kırılmış
188,american cheese your choice,Amerikan peyniri seçiminiz
189,american processed cheese,amerikan işlenmiş peynir
190,american single,amerikan tek
191,amish friendship bread starter,amish dostluk ekmek başlangıç
192,anaheim california chile,anaheim kaliforniya şili
193,anaheim chile,anaheim şili
194,anaheim chile pepper,anaheim şili biberi
195,anaheim pepper,anaheim biberi
196,ancho chile,ancho şili
197,ancho chile pepper,ancho şili biberi
198,ancho chile pepper stem removed,ancho şili biber sapı çıkarıldı
199,ancho chile powder,ancho şili tozu
200,ancho chile seasoning,ancho şili baharatı
201,ancho chili powder,ancho biber tozu
202,ancho chily,ancho biber
203,anchovy,hamsi
204,anchovy fillet,hamsi filetosu
205,anchovy fillet in olive oil,zeytinyağında hamsi filetosu
206,"anchovy fillets,","hamsi filetosu,"
207,anchovy paste,hamsi ezmesi
208,ancient grain blend,antik tahıl karışımı
209,and cubed lobster meat,pound ve kuşbaşı ıstakoz eti
210,andor bell pepper,andor dolmalık biber
211,andor pepper,Andor biberi
212,andouille sausage,Andouille sosisi
213,andouille sausage kielbasa,andouille sosisi kielbasa
214,angel food cake,melek yemeği pastası
215,angel food cake mix,melek yemeği kek karışımı
216,angel hair pasta,melek saçlı makarna
217,angel hair style cabbage,melek saç stili lahana
218,angostura bitter,Angostura acı
219,angu ribeye steak,angu antrikot biftek
220,animal cracker cooky,hayvan kraker kurabiyesi
221,anise,anason
222,anise extract,anason özü
223,anise oil,anason yağı
224,anise pod,anason kabuğu
225,anise seed,anason tohumu
226,anise seed powder,anason tohumu tozu
227,anjou pear,anjou armut
228,annatto achiote powder,annatto achiote tozu
229,annatto powder,Annatto tozu
230,annatto seed,annatto tohumu
231,any color food coloring,herhangi bir renk gıda boyası
232,any color food coloring paste,istenilen renkte gıda boyası macunu
233,any flavor berry jam,herhangi bir tat meyve reçeli
234,any flavor flavored syrup,herhangi bir aroma aromalı şurup
235,any flavor fruit jam,herhangi bir tat meyve reçeli
236,any flavor fruit jelly,herhangi bir tat meyve jölesi
237,any flavor ramen noodle,herhangi bir tat ramen eriştesi
238,aonori seaweed flake,aonori deniz yosunu gevreği
239,aperol,aperol
240,apple,elma
241,"apple - cored, and",elma – ve
242,apple butter,elma yağı
243,apple cider vinegar,elma sirkesi
244,apple juice,elma suyu
245,apple juice concentrate,elma suyu konsantresi
246,apple juice lemon juice,elma suyu limon suyu
247,apple juice water,elma suyu suyu
248,applesauce,elma püresi
249,applesauce baby food,elma püresi bebek maması
250,apricot,kayısı
251,apricot baby food,kayısılı bebek maması
252,apricot fruit filling,kayısı dolgusu
253,apricot halve,kayısı yarısı
254,apricot in syrup,şuruplu kayısı
255,apricot jam,kayısı reçeli
256,apricot jam other colored jam,kayısı reçeli diğer renkli reçel
257,apricot mango juice,kayısı mango suyu
258,apricot nectar,kayısı nektarı
259,apricot preserve,kayısı konservesi
260,apricot preserve apricot fruit spread,kayısı konservesi veya kayısı meyvesi ezmesi
261,apricot preserve jam,kayısı reçeli reçeli
262,apricot preserves,kayısı konservesi
263,aquafaba,fabası
264,arbol chile pepper,arbol şili biberi
265,arbol pepper,arbol biberi
266,arborio rice,arborio pirinci
267,archer farm ancho chile powder,okçu çiftliği ancho şili tozu
268,archer farm fiery chili cooking oil,okçu çiftliği ateşli biber yemeklik yağ
269,arepa flour,arepa unu
270,argan oil,argan yağı
271,arrabbiata pasta sauce,arrabbiata makarna sosu
272,arrowroot,ararot
273,arrowroot flour,ararot unu
274,arrowroot powder,ararot tozu
275,arrowroot starch,ararot nişastası
276,artichoke,enginar
277,artichoke bottom,enginar tabanı
278,artichoke heart,enginar kalbi
279,artichoke heart in water,suda enginar kalbi
280,"artichoke hearts, and","ons) enginar kalbi, suyu süzülmüş ve olabilir"
281,artichoke in water,sudaki enginar
282,artificial chicken pieces (such as Quorn,ons) paket yapay tavuk parçaları (Quorn gibi
283,artificial sweetener,yapay tatlandırıcı
284,artisan style bread,esnaf usulü ekmek
285,artisanal bread,zanaatkar ekmek
286,arugula,roka
287,arugula baby spinach combo,roka bebek ıspanak kombinasyonu
288,arugula leave,roka izni
289,asadero cheese,asadero peyniri
290,asafoetida,asafoetida
291,asafoetida powder,asafoetida tozu
292,ascorbic acid,askorbik asit
293,asiago cheese,Asya peyniri
294,asiago cheese topping,Asiago peyniri tepesi
295,asiago parmesan cheese,asiago parmesan peyniri
296,asian chile paste,asya şili ezmesi
297,asian chile paste garlic,asya şili ezmesi sarımsak
298,asian chile pepper sauce,Asya şili biber sosu
299,asian chile sauce,asya şili sosu
300,asian chili bean sauce,Asya biberli fasulye sosu
301,asian chili garlic sauce,Asya biberli sarımsak sosu
302,asian chili paste,asya biber salçası
303,asian chili sauce,Asya biber sosu
304,asian fish sauce,Asya balık sosu
305,asian five spice powder,asya beş baharat tozu
306,asian flavored barbeque seasoning,Asya aromalı barbekü baharatı
307,asian garlic chili sauce,Asya sarımsaklı biber sosu
308,asian pear,asya armut
309,asian radish,asya turpu
310,asian sesame dressing,asya susam sosu
311,asian sesame oil,asya susam yağı
312,asian slaw mix,Asya Lahana Salatası Karışımı
313,asian style chile paste,asya usulü şili ezmesi
314,asian style mustard,asya usulü hardal
315,asian style sauce,Asya usulü sos
316,asian style sriracha chile garlic sauce,asya usulü sriracha şili sarımsak sosu
317,asian vegetable medley,asya sebze karışımı
318,asparagu,kuşkonmaz
319,asparagu cut into inch,kuşkonmaz inçlik kesilmiş
320,asparagu spear,kuşkonmaz mızrağı
321,asparagu stalk,kuşkonmaz sapı
322,asparagu tip,kuşkonmaz ucu
323,"asparagus,","ons) kutu kuşkonmaz, süzülmüş"
324,aspartame artificial sweetener,aspartam yapay tatlandırıcı
325,aspartame sweetener,aspartam tatlandırıcı
326,assembly,toplantı
327,assorted,çeşitli
328,assorted baby beet,çeşitli bebek pancarı
329,assorted beef bone,çeşitli sığır kemiği
330,assorted bell pepper,çeşitli dolmalık biber
331,assorted candy,çeşitli şeker
332,assorted candy decoration,çeşitli şeker dekorasyonu
333,assorted chicken bone,çeşitli tavuk kemiği
334,assorted chicken breast,çeşitli tavuk göğsü
335,assorted chicken part,çeşitli tavuk kısmı
336,assorted cut up fruit,çeşitli kesilmiş meyveler
337,assorted cut up vegetable,çeşitli kesilmiş sebzeler
338,assorted food coloring,çeşitli gıda boyası
339,assorted green,çeşitli yeşil
340,assorted holiday decoration,çeşitli tatil dekorasyonu
341,assorted mushroom,çeşitli mantar
342,assorted natural food coloring,çeşitli doğal gıda boyası
343,assorted root vegetable cut into bite size,ısırık büyüklüğünde kesilmiş çeşitli kök sebzeler
344,assorted sprinkle,çeşitli serpin
345,assorted summer squash,çeşitli yaz kabağı
346,assorted vegetable,çeşitli sebze
347,assorted wild mushroom,çeşitli yabani mantar
348,at,en
349,atlantic salmon,Atlantik somonu
350,attieke,attieke
351,au gratin homestyle casserole,Au Graten ev usulü güveç
352,au gratin potato mix,Au Graten Patates Karışımı
353,au jus gravy mix,au jus sos karışımı
354,au jus mix,yani karıştır
355,au jus sauce,au jus sosu
356,avocado,avokado
357,avocado from mexico,boy çok Meksika Avokado
358,avocado oil,avokado yağı
359,avocado oil cooking spray,avokado yağı pişirme spreyi
360,avocado oil mayonnaise,avokado yağı mayonez
361,avocado ranch dressing,avokado çiftliği sosu
362,avocado wedge,avocado wedge
363,"avocado,","avokado,"
364,azuki bean,azuki fasulyesi
365,baby arugula,bebek roka
366,baby arugula leave,bebek roka izni
367,baby back rib,bebek sırt kaburga
368,baby basil leave,bebek fesleğen izni
369,baby bell pepper,bebek dolmalık biber
370,baby bella mushroom,bebek bella mantarı
371,baby bok choy,bebek bok choy
372,baby brussel sprout,bebek brüksel lahanası
373,baby calamari,bebek kalamar
374,baby carrot,bebek havuç
375,baby carrots,ons) paket bebek havuç
376,baby corn,bebek mısır
377,baby corn ear,bebek mısır kulağı
378,baby cut carrot,bebek havuç kesti
379,baby dill pickle,bebek dereotu turşusu
380,baby dill spear,bebek dereotu mızrak
381,baby doll,Oyuncak bebek
382,baby dutch potato,bebek hollanda patatesi
383,baby eggplant,bebek patlıcan
384,baby food squash,bebek maması kabak
385,baby goat meat,yavru keçi eti
386,baby gold beet,bebek altın pancar
387,baby gold potato,bebek altın patates
388,baby green,bebek yeşili
389,baby kale,bebek lahana
390,baby lettuce,bebek marul
391,baby lettuce mix,bebek marul karışımı
392,baby lima bean,bebek lima fasulyesi
393,baby mozzarella,bebek mozarella
394,baby pea,bebek bezelye
395,baby portabella mushroom,bebek portabella mantarı
396,baby portobello mushroom,bebek portobello mantarı
397,baby potato,bebek patates
398,baby potato skin,bebek patates derisi
399,baby red flavored mashed potato,bebek kırmızısı aromalı patates püresi
400,baby romaine lettuce leave,bebek marul izni
401,baby salad green,bebek salatası yeşil
402,baby shrimp,bebek karides
403,baby spinach,bebek ıspanak
404,baby spinach arugula,bebek ıspanaklı roka
405,baby spinach leave,bebek ıspanak izni
406,baby yukon gold potato,bebek yukon altın patates
407,backoblaten,arkadan şişmiş
408,backstrap,sırt bandı
409,bagel,simit
410,bagel chip,simit çipi
411,bagel seasoning,simit baharatı (Trader Joe'nun Bagel Susam Baharat Karışımı Dışındaki Her Şey gibi
412,bagel seasoning blend,simit baharat karışımı
413,baguette,baget
414,baguette loave,Baget somunu
415,baguette slice,baget dilimi
416,bai kraprao,bai kraprao
417,baker ammonia,fırıncı amonyak
418,baker real milk dipping chocolate,fırıncı gerçek sütlü çikolata
419,baker semi baking chocolate,fırıncı yarı pişirme çikolata
420,baker semi chocolate,fırıncı yarı çikolata
421,baker semi chocolate chip,fırıncı yarı çikolata parçacıklı
422,bakeware pan,fırın tepsisi
423,baking,pişirme
424,baking blend,pişirme karışımı
425,baking chip,pişirme çipi
426,baking chocolate,çikolata pişirme
427,baking cocoa,kakao pişirme
428,baking dish,pişirme kabı
429,baking mix,pişirme karışımı
430,baking pan,fırın tepsisi
431,baking potato,patates pişirme
432,baking powder,kabartma tozu
433,baking soda,karbonat
434,baking spray,pişirme spreyi
435,baking spray with flour,sprey un
436,baking stick all vegetable shortening,pişirme çubuğu tüm sebze kısaltmaları
437,baking stick butter flavor all vegetable shortening,pişirme çubuğu tereyağı aroması tüm sebze kısaltmaları
438,ball hamburger bun,top hamburger ekmeği
439,ball mozzarella cheese,top mozarella peyniri
440,balsamic glaze,balzamik sır
441,balsamic vinaigrette,balzamik sirke
442,balsamic vinaigrette dressing,balzamik sos sosu
443,balsamic vinaigrette dressing (such as Newman's Own®,balzamik salata sosu (Newman's Own® gibi
444,balsamic vinaigrette salad dressing,balzamik soslu salata sosu
445,balsamic vinegar,balzamik sirke
446,balsamic vinegar reduction,balzamik sirke azaltımı
447,bamboo fungu,bambu mantarı
448,bamboo shoot,bambu filizi
449,bamboo skewer,bambu şiş
450,banana,muz
451,banana - and,
452,banana bread,muz ekmeği
453,banana bread muffin mix,muzlu ekmek muffin karışımı
454,banana cake mix,muzlu kek karışımı
455,banana chip,muz cipsi
456,banana cream pudding mix,muzlu kremalı puding karışımı
457,banana extract,muz özü
458,banana flavored greek yogurt,muz aromalı yunan yoğurdu
459,banana flavored yogurt,muz aromalı yoğurt
460,banana nut cheerio cereal,muz fındık Cheerio mısır gevreği
461,banana pepper,muz biberi
462,banana pepper ring,muz biber halkası
463,banana pudding mix,muzlu puding karışımı
464,banana slice,muz dilimi
465,banana squash,muz kabağı
466,"banana, and","muz, ve"
467,bar clam,bar deniz tarağı
468,bar fun sized candy bar,bar eğlenceli büyüklükte şeker çubuğu
469,barbecue rub,barbekü ovmak
470,barbecue sauce,barbekü sosu
471,barbeque glaze,barbekü sır
472,barbeque sauce,barbekü sosu
473,barbeque seasoning,barbekü baharatı
474,barberry,kızamık
475,barely water,arpa suyu
476,bark,havlamak
477,barley,arpa
478,barley flake,arpa tanesi
479,barley flour,arpa unu
480,barley malt syrup,arpa maltı şurubu
481,bartlett pear,bartlet armut
482,bartlett pear halve in heavy syrup,ağır şuruplu bartlett armut yarısı
483,bartlett pear skinned,bartlett armut kabuğu
484,basic cookie mix,temel kurabiye karışımı
485,basil,reyhan
486,basil basil chiffonade,fesleğen fesleğen şifonat
487,basil chiffonade,fesleğenli şifonat
488,basil flavored feta cheese,fesleğen aromalı beyaz peynir
489,basil infused olive oil,fesleğen katkılı zeytinyağı
490,basil italian parsley,fesleğen İtalyan maydanozu
491,basil leave,fesleğen izni
492,basil leaves,fesleğen yaprağı
493,basil oil,fesleğen yağı
494,basil or flat-leaf parsley,fesleğen düz yaprak maydanoz
495,basil paste,fesleğen ezmesi
496,basil pepper,fesleğen biberi
497,basil pesto,fesleğen pesto
498,basil pesto sauce,fesleğen pesto sosu
499,basil sprig,fesleğen dalı
500,basil vinaigrette,fesleğen sosu
501,basmati rice,basmati pirinci
502,bavarian style sauerkraut,Bavyera usulü lahana turşusu
503,bavarian style sauerkraut caraway seed,Bavyera usulü lahana turşusu kimyon tohumu
504,bay leaf,defne yaprağı
505,bay leave,defne yaprağı
506,bay leaves,defne yaprağı
507,bay powder,defne tozu
508,bay scallop,defne tarağı
509,bay seasoning tm to,defne baharatı tm
510,bay shrimp,defne karidesi
511,bbq rub,barbekü ovmak
512,bbq sauce,Barbekü sosu
513,bbq seasoning,Barbekü baharatı
514,bean,fasulye
515,bean cheese burrito,fasulye peynirli börek
516,bean chili,fasulye biber
517,bean corn salsa,fasulye mısır salsa
518,bean curd block,soya peyniri bloğu
519,bean dip,fasulye sosu
520,bean drain reserve liquid,fasulye drenaj rezerv sıvısı
521,bean in assorted color,çeşitli renklerde fasulye
522,bean in chili seasoned sauce,biberli baharatlı soslu fasulye
523,bean in tomato sauce,domates soslu fasulye
524,bean paste,fasulye ezmesi
525,bean rice mix,fasulyeli pirinç karışımı
526,bean sauce,fasulye sosu
527,bean sauce garlic,fasulye sosu sarımsak
528,bean soup,fasulye çorbası
529,bean soup mix,fasulye çorbası karışımı
530,bean sprout,fasulye filizi
531,bean thread,fasulye ipliği
532,bean thread noodle,fasulye ipliği şehriye
533,bean thread vermicelli noodle,fasulye ipliği erişte şehriye
534,bear chicken noodle soup mix,ayı tavuk şehriye çorbası karışımı
535,bear meat,ayı eti
536,bear minestrone soup mix,ayı sebzeli sebze çorbası karışımı
537,bearnaise sauce,Bearnez sosu
538,bearnaise sauce mix,Bearnez sos karışımı
539,beau monde seasoning,beau monde baharatı
540,becelreg salted plant based brick,becelreg tuzlu bitki bazlı tuğla
541,becelreg unsalted plant based brick,becelreg tuzsuz bitki bazlı tuğla
542,bechamel sauce,beşamel sos
543,beech mushroom,kayın mantarı
544,beef,biftek
545,beef back rib,dana sırtı kaburga
546,beef base,sığır eti tabanı
547,beef birria,sığır eti birria
548,beef bone,sığır kemiği
549,beef bone broth high quality,sığır kemik suyu yüksek kalite
550,beef bottom round roast chuck pot roast,sığır eti alt yuvarlak kızartma chuck tencerede kızartma
551,beef bouillon,sığır bulyon
552,beef bouillon cube,et bulyon küpü
553,beef bouillon granule,sığır bulyon granülü
554,beef bouillon paste,sığır bulyon ezmesi
555,beef bouillon powder,sığır bulyon tozu
556,beef brisket,sığır eti göğüs eti
557,beef brisket spice packet,dana döş baharat paketi
558,beef broth,sığır suyu
559,beef broth water,et suyu veya su
560,beef cheek,sığır yanağı
561,beef cheek meat,dana yanak eti
562,beef chuck,sığır eti aynası
563,beef chuck pot roast,sığır eti chuck pot kızartma
564,beef chuck roast,sığır eti kızartması
565,beef chuck roast cut into inch cube,inç küp şeklinde kesilmiş sığır eti kızartması
566,beef chuck steak,sığır eti biftek
567,beef cocktail wiener,sığır eti kokteyli sosisi
568,beef consomme,sığır eti konsome
569,beef cube steak,sığır eti küp biftek
570,beef cube steaks,pound) dana küp biftek
571,beef dog,sığır eti köpeği
572,beef dripping,sığır eti damlaması
573,beef eye round into inch strip,sığır gözü yuvarlak inç şerit halinde
574,beef eye round roast,sığır gözü yuvarlak kızartma
575,beef filet,sığır filetosu
576,beef flank steak,sığır eti biftek
577,beef flavor ramen noodle seasoning packet,"ons) paket sığır aromalı ramen eriştesi, baharat paketiyle birlikte"
578,beef flavored pho broth,sığır aromalı pho suyu
579,beef flavored ramen noodle,sığır aromalı ramen şehriye
580,beef flavored rice mix,sığır eti aromalı pirinç karışımı
581,beef flavored vegetarian bouillon,sığır aromalı vejetaryen bulyon
582,beef frankfurter,sığır sosisi
583,beef gravy,sığır eti sosu
584,beef gravy mix,dana eti karışımı
585,beef heart,sığır eti kalbi
586,beef jerky,sığır eti sarsıntılı
587,beef link sausage,sığır eti bağlantı sosisi
588,beef liver,sığır karaciğeri
589,beef lunch meat,sığır eti öğle yemeği
590,beef luncheon meat,sığır eti öğle yemeği eti
591,beef meatball,dana köfte
592,beef neck bone,sığır boyun kemiği
593,beef onion soup mix,sığır eti soğan çorbası karışımı
594,beef oxtail,sığır kuyruğu
595,beef pho flavor paste,sığır eti pho lezzet ezmesi
596,beef pho meatball,"ons) paket sığır eti köftesi, yarıya bölünmüş veya tadı"
597,beef pot roast,sığır eti kızartma
598,beef prime rib roast,sığır eti kaburga kızartma
599,beef ramen noodle,sığır eti ramen şehriye
600,beef ravioli,dana mantı
601,beef rib,sığır kaburga
602,beef rib eye steak,dana kaburga eti
603,beef rib roast,dana kaburga kızartması
604,beef ribeye steak,dana antrikot biftek
605,beef roast,sığır eti kızartması
606,beef roast au jus,sığır eti kızartma au jus
607,beef round,sığır eti yuvarlak
608,beef round roast,sığır eti yuvarlak kızartma
609,beef round steak,sığır eti yuvarlak biftek
610,beef rump roast,sığır eti kızartması
611,beef sandwich steak,sığır eti sandviç biftek
612,beef sausage,sığır sosisi
613,beef shank,sığır incik
614,beef short rib,sığır eti kısa kaburga
615,beef shoulder,sığır omuzu
616,beef shoulder tender,sığır omuz ihalesi
617,beef sirloin,sığır filetosu
618,beef sirloin beef top round steak,sığır filetosu sığır eti üst yuvarlak biftek
619,beef sirloin roast,sığır filetosu kızartma
620,beef sirloin steak,sığır filetosu biftek
621,beef sirloin steak beef top round steak,sığır filetosu biftek sığır eti üst yuvarlak biftek
622,beef sirloin strip,sığır filetosu şerit
623,beef sirloin tip,dana bonfile ucu
624,beef sirloin tip roast,sığır filetosu ucu kızartma
625,beef sirloin tip steak,sığır filetosu ucu biftek
626,beef skirt steak,sığır eti etek biftek
627,beef soup bone,sığır eti çorbası kemiği
628,beef steak,sığır eti biftek
629,beef steak any type,herhangi bir tür dana biftek
630,beef stew,sığır eti güveç
631,beef stew meat,sığır eti güveç
632,beef stew seasoning mix,sığır eti güveç baharat karışımı
633,beef stewing steak,sığır eti haşlama biftek
634,beef stick,sığır eti sopa
635,beef stock,sığır eti stoğu
636,beef stock concentrate,sığır eti konsantresi
637,beef stock unsalted beef stock,sığır eti suyu tuzsuz sığır eti suyu
638,beef suet,sığır iç yağı
639,beef sweetbread,sığır eti tatlısı
640,beef tamale,sığır eti tamale
641,beef tenderloin,dana bonfile
642,beef tenderloin filet,dana bonfile filetosu
643,beef tenderloin medallion,dana bonfile madalyon
644,beef tenderloin roast,dana bonfile kızartması
645,beef tenderloin steak,dana bonfile biftek
646,beef tip,sığır ucu
647,beef tongue,sığır dili
